    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
    -2.07993     4.04386
    -2.07493     4.14235
    -2.06993     4.23862
    -2.06493     4.33237
    -2.05993     4.42334
    -2.05493     4.51127
    -2.04993     4.59589
    -2.04493     4.67695
    -2.03993     4.75420
    -2.03493     4.82741
    -2.02993     4.89635
    -2.02493     4.96080
    -2.01993     5.02057
    -2.01493     5.07547
    -2.00993     5.12531
    -2.00493     5.16996
    -1.99993     5.20926
    -1.99493     5.24310
    -1.98993     5.27137
    -1.98493     5.29398
    -1.97993     5.31087
    -1.97493     5.32200
    -1.96993     5.32733
    -1.96493     5.32687
    -1.95993     5.32062
    -1.95493     5.30864
    -1.94993     5.29096
    -1.94493     5.26768
    -1.93993     5.23888
    -1.93493     5.20469
    -1.92993     5.16525
    -1.92493     5.12070
    -1.91993     5.07122
    -1.91493     5.01701
    -1.90993     4.95827
    -1.90493     4.89522
    -1.89993     4.82810
    -1.89493     4.75717
    -1.88993     4.68268
    -1.88493     4.60491
    -1.87993     4.52415
    -1.87493     4.44069
    -1.86993     4.35483
    -1.86493     4.26689
    -1.85993     4.17717
    -1.85493     4.08600
    -1.84993     3.99369
    -1.84493     3.90057
    -1.83993     3.80696
    -1.83493     3.71319
    -1.82993     3.61958
    -1.82493     3.52644
    -1.81993     3.43408
    -1.81493     3.34283
    -1.80993     3.25297
    -1.80493     3.16482
    -1.79993     3.07865
    -1.79493     2.99474
    -1.78993     2.91338
    -1.78493     2.83481
    -1.77993     2.75929
    -1.77493     2.68705
    -1.76993     2.61833
    -1.76493     2.55334
    -1.75993     2.49228
    -1.75493     2.43534
    -1.74993     2.38268
    -1.74493     2.33449
    -1.73993     2.29089
    -1.73493     2.25202
    -1.72993     2.21801
    -1.72493     2.18894
    -1.71993     2.16491
    -1.71493     2.14600
    -1.70993     2.13225
    -1.70493     2.12370
    -1.69993     2.12039
    -1.69493     2.12232
    -1.68993     2.12949
    -1.68493     2.14187
    -1.67993     2.15944
    -1.67493     2.18212
    -1.66993     2.20987
    -1.66493     2.24260
    -1.65993     2.28020
    -1.65493     2.32256
    -1.64993     2.36956
    -1.64493     2.42106
    -1.63993     2.47689
    -1.63493     2.53689
    -1.62993     2.60087
    -1.62493     2.66863
    -1.61993     2.73997
    -1.61493     2.81465
    -1.60993     2.89245
    -1.60493     2.97311
    -1.59993     3.05638
    -1.59493     3.14199
    -1.58993     3.22966
    -1.58493     3.31911
    -1.57993     3.41005
    -1.57493     3.50216
    -1.56993     3.59515
    -1.56493     3.68869
    -1.55993     3.78248
    -1.55493     3.87620
    -1.54993     3.96952
    -1.54493     4.06212
    -1.53993     4.15367
    -1.53493     4.24387
    -1.52993     4.33238
    -1.52493     4.41890
    -1.51993     4.50311
    -1.51493     4.58472
    -1.50993     4.66342
    -1.50493     4.73893
    -1.49993     4.81099
    -1.49493     4.87931
    -1.48993     4.94365
    -1.48493     5.00378
    -1.47993     5.05946
    -1.47493     5.11049
    -1.46993     5.15668
    -1.46493     5.19786
    -1.45993     5.23386
    -1.45493     5.26456
    -1.44993     5.28983
    -1.44493     5.30958
    -1.43993     5.32373
    -1.43493     5.33223
    -1.42993     5.33504
    -1.42493     5.33216
    -1.41993     5.32359
    -1.41493     5.30937
    -1.40993     5.28954
    -1.40493     5.26417
    -1.39993     5.23338
    -1.39493     5.19725
    -1.38993     5.15594
    -1.38493     5.10960
    -1.37993     5.05839
    -1.37493     5.00250
    -1.36993     4.94215
    -1.36493     4.87754
    -1.35993     4.80893
    -1.35493     4.73655
    -1.34993     4.66066
    -1.34493     4.58155
    -1.33993     4.49950
    -1.33493     4.41479
    -1.32993     4.32773
    -1.32493     4.23862
    -1.31993     4.14778
    -1.31493     4.05551
    -1.30993     3.96215
    -1.30493     3.86800
    -1.29993     3.77340
    -1.29493     3.67865
    -1.28993     3.58408
    -1.28493     3.49000
    -1.27993     3.39672
    -1.27493     3.30455
    -1.26993     3.21378
    -1.26493     3.12471
    -1.25993     3.03762
    -1.25493     2.95280
    -1.24993     2.87050
    -1.24493     2.79099
    -1.23993     2.71451
    -1.23493     2.64129
    -1.22993     2.57157
    -1.22493     2.50555
    -1.21993     2.44343
    -1.21493     2.38540
    -1.20993     2.33163
    -1.20493     2.28228
    -1.19993     2.23750
    -1.19493     2.19741
    -1.18993     2.16214
    -1.18493     2.13179
    -1.17993     2.10644
    -1.17493     2.08617
    -1.16993     2.07104
    -1.16493     2.06109
    -1.15993     2.05635
    -1.15493     2.05683
    -1.14993     2.06253
    -1.14493     2.07344
    -1.13993     2.08953
    -1.13493     2.11074
    -1.12993     2.13701
    -1.12493     2.16828
    -1.11993     2.20444
    -1.11493     2.24540
    -1.10993     2.29104
    -1.10493     2.34121
    -1.09993     2.39578
    -1.09493     2.45457
    -1.08993     2.51742
    -1.08493     2.58414
    -1.07993     2.65452
    -1.07493     2.72835
    -1.06993     2.80540
    -1.06493     2.88544
    -1.05993     2.96821
    -1.05493     3.05346
    -1.04993     3.14092
    -1.04493     3.23031
    -1.03993     3.32134
    -1.03493     3.41373
    -1.02993     3.50715
    -1.02493     3.60132
    -1.01993     3.69592
    -1.01493     3.79063
    -1.00993     3.88514
    -1.00493     3.97912
    -0.99993     4.07225
    -0.99493     4.16421
    -0.98993     4.25469
    -0.98493     4.34337
    -0.97993     4.42993
    -0.97493     4.51407
    -0.96993     4.59548
    -0.96493     4.67389
    -0.95993     4.74899
    -0.95493     4.82053
    -0.94993     4.88823
    -0.94493     4.95185
    -0.93993     5.01114
    -0.93493     5.06590
    -0.92993     5.11591
    -0.92493     5.16099
    -0.91993     5.20095
    -0.91493     5.23565
    -0.90993     5.26495
    -0.90493     5.28873
    -0.89993     5.30690
    -0.89493     5.31938
    -0.88993     5.32612
    -0.88493     5.32707
    -0.87993     5.32222
    -0.87493     5.31158
    -0.86993     5.29518
    -0.86493     5.27307
    -0.85993     5.24530
    -0.85493     5.21197
    -0.84993     5.17318
    -0.84493     5.12906
    -0.83993     5.07974
    -0.83493     5.02540
    -0.82993     4.96620
    -0.82493     4.90233
    -0.81993     4.83401
    -0.81493     4.76144
    -0.80993     4.68486
    -0.80493     4.60451
    -0.79993     4.52063
    -0.79493     4.43350
    -0.78993     4.34338
    -0.78493     4.25053
    -0.77993     4.15524
    -0.77493     4.05779
    -0.76993     3.95846
    -0.76493     3.85754
    -0.75993     3.75531
    -0.75493     3.65206
    -0.74993     3.54808
    -0.74493     3.44364
    -0.73993     3.33901
    -0.73493     3.23448
    -0.72993     3.13030
    -0.72493     3.02674
    -0.71993     2.92404
    -0.71493     2.82246
    -0.70993     2.72223
    -0.70493     2.62358
    -0.69993     2.52672
    -0.69493     2.43188
    -0.68993     2.33924
    -0.68493     2.24900
    -0.67993     2.16135
    -0.67493     2.07644
    -0.66993     1.99445
    -0.66493     1.91552
    -0.65993     1.83980
    -0.65493     1.76743
    -0.64993     1.69851
    -0.64493     1.63317
    -0.63993     1.57151
    -0.63493     1.51363
    -0.62993     1.45961
    -0.62493     1.40954
    -0.61993     1.36349
    -0.61493     1.32152
    -0.60993     1.28369
    -0.60493     1.25006
    -0.59993     1.22066
    -0.59493     1.19553
    -0.58993     1.17471
    -0.58493     1.15823
    -0.57993     1.14610
    -0.57493     1.13834
    -0.56993     1.13495
    -0.56493     1.13595
    -0.55993     1.14133
    -0.55493     1.15108
    -0.54993     1.16520
    -0.54493     1.18366
    -0.53993     1.20644
    -0.53493     1.23352
    -0.52993     1.26485
    -0.52493     1.30040
    -0.51993     1.34012
    -0.51493     1.38395
    -0.50993     1.43184
    -0.50493     1.48372
    -0.49993     1.53951
    -0.49493     1.59912
    -0.48993     1.66247
    -0.48493     1.72945
    -0.47993     1.79996
    -0.47493     1.87387
    -0.46993     1.95106
    -0.46493     2.03140
    -0.45993     2.11474
    -0.45493     2.20091
    -0.44993     2.28976
    -0.44493     2.38111
    -0.43993     2.47477
    -0.43493     2.57055
    -0.42993     2.66825
    -0.42493     2.76764
    -0.41993     2.86850
    -0.41493     2.97061
    -0.40993     3.07372
    -0.40493     3.17758
    -0.39993     3.28193
    -0.39493     3.38652
    -0.38993     3.49107
    -0.38493     3.59531
    -0.37993     3.69896
    -0.37493     3.80174
    -0.36993     3.90337
    -0.36493     4.00355
    -0.35993     4.10200
    -0.35493     4.19844
    -0.34993     4.29258
    -0.34493     4.38414
    -0.33993     4.47284
    -0.33493     4.55841
    -0.32993     4.64059
    -0.32493     4.71911
    -0.31993     4.79373
    -0.31493     4.86421
    -0.30993     4.93032
    -0.30493     4.99185
    -0.29993     5.04859
    -0.29493     5.10036
    -0.28993     5.14699
    -0.28493     5.18831
    -0.27993     5.22419
    -0.27493     5.25451
    -0.26993     5.27916
    -0.26493     5.29806
    -0.25993     5.31115
    -0.25493     5.31837
    -0.24993     5.31970
